fieldName,variableType
environ_id, INT AUTO_INCREMENT PRIMARY KEY
timeStamp, TIMESTAMP
gratingTemp, FLOAT
tableCenterTemp, FLOAT
enclosureTemp, FLOAT
iodineCellTemp, FLOAT
enclosureSetpoint, FLOAT
iodineCellSetpoint, FLOAT
enclosureTemp2, FLOAT
tableTempLow, FLOAT
structureTemp, FLOAT
instrumentSetpoint, FLOAT
instrumentTemp, FLOAT
coudeTemp, FLOAT
heaterSetpoint, FLOAT
barometer, FLOAT
echellePressure, FLOAT
ccdTemp, FLOAT
neckTemp, FLOAT
ccdSetpoint, FLOAT
