fitsSourceFile,fitsKeyName,sqlDestTable,sqlColumnName
vst,MNPAR,psfs,mnpar16
vst,MNPAR,psfs,mnpar17
vst,MNPAR,psfs,mnpar18
vst,MNPAR,psfs,mnpar19
vst,MNPAR,psfs,mnpar20
vst,SP1,psfs,sp1
vst,SP2,psfs,sp2
vst,SPST,psfs,spst
vst,PHASE,psfs,phase
vst,PSFPIX,psfs,psfpix1
vst,PSFPIX,psfs,psfpix2
vst,PSFPIX,psfs,psfpix3
vst,PSFPIX,psfs,psfpix4
vst,PSFPIX,psfs,psfpix5
vst,PSFPIX,psfs,psfpix6
vst,PSFPIX,psfs,psfpix7
vst,PSFPIX,psfs,psfpix8
vst,PSFPIX,psfs,psfpix9
vst,PSFPIX,psfs,psfpix10
vst,PSFPIX,psfs,psfpix11
vst,PSFPIX,psfs,psfpix12
vst,PSFPIX,psfs,psfpix13
vst,PSFPIX,psfs,psfpix14
vst,PSFPIX,psfs,psfpix15
vst,PSFSIG,psfs,psfsig1
vst,PSFSIG,psfs,psfsig2
vst,PSFSIG,psfs,psfsig3
vst,PSFSIG,psfs,psfsig4
vst,PSFSIG,psfs,psfsig5
vst,PSFSIG,psfs,psfsig6
vst,PSFSIG,psfs,psfsig7
vst,PSFSIG,psfs,psfsig8
vst,PSFSIG,psfs,psfsig9
vst,PSFSIG,psfs,psfsig10
vst,PSFSIG,psfs,psfsig11
vst,PSFSIG,psfs,psfsig12
vst,PSFSIG,psfs,psfsig13
vst,PSFSIG,psfs,psfsig14
vst,PSFSIG,psfs,psfsig15
